selja,10
surra,10
suudad,10
tappa,10
teadsid,10
teaksid,10
tehke,10
teises,10
teisi,10
tund,10
tähelepanu,10
tööta,10
tütar,10
uks,10
uudised,10
vahet,10
varjend,10
varjumiseks,10
varustust,10
viima,10
viin,10
võtmed,10
washingtonis,10
Ärka,10
äsja,10
ğerifi,10
õhtul,10
ööd,10
ühendust,10
appi,9
asemel,9
constantino,9
elanud,9
generaator,9
hoiab,9
hoian,9
hoidke,9
hoolitsen,9
hulluks,9
ist,9
juhtuda,9
juhtunud,9
jutustas,9
